투자금액비중,보유,Ticker,설명,,yahoo,google,현재가격,적정가격,"25년 
적정 EPS","25년 
적정 PER",Fwd PER,적정 PER,목표값-최대,목표값-평균,목표값-중앙,목표값-분석가 의견합 ,구매가,투자금액,평가금액,수익,수익률,상승여력,비중,"
주간가격변화차트",,,,
,0,036930.ks,주성엔지니어링,036930,.ks,KOSDAQ:,196900,"44,650.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,103140.ks,풍산 보통주,103140,.ks,KRX:,74600,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,SERV,Serve Robotics Inc.,SERV,,NASDAQ:,9.07,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,031980.ks,피에스케이홀딩스,031980,.ks,KOSDAQ:,100600,"64,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,071970.ks,에이치디현대마린엔진보통주,071970,.ks,KRX:,65200,"26,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,KRKNF,Kraken Robotics Inc.,KRKNF,,,6.08,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,008730.ks,율촌화학보통주,008730,.ks,KRX:,18010,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
0.00%,0,340570.ks,티앤엘,340570,.ks,KOSDAQ:,"54,400.00","97,500.00",3.87,,,,,"105,000",,,"63,928",,,,#DIV/0!,93.01%,0.00%,,,,,
0.00%,0,SOXL,3X ETF,SOXL,,,$266.32,,,,,,,,,,$33.88,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.00%,0,305080.ks,Tiger 미국채 선물,305080,.ks,KRX:,"13,635.00",,,,,,,,,,"13,215.00",0.00,0,0.00,#DIV/0!,-100.00%,0.00%,,카카오,키움2,키움1,
,0,,,,,,,,,,,,,,,,,,,,,,,,18.42,13.1427,19.11,
0.00%,0,TSLL,테슬라 2x,TSLL,,,$15.01,,,,,,,,,,$10.55,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,43,166,23,232
0.00%,0,026960.ks,동서,026960,.ks,KRX:,"24,100.00",,,,,,,,,,"26,000.00",0.00,0,0.00,#DIV/0!,-100.00%,0.00%,,792.06,2181.6882,439.53,3413.2782
0.00%,0,UNH,United Health Group,UNH,,NYSE:,377.92,365.77,,,,,,365.77,,,$294.33,$0.00,$0.00,$0.00,#DIV/0!,-3.21%,0.00%,,,,,
0.00%,0,TEM,템퍼스AI,TEM,,NASDAQ:,49.62,,,,,,,67.14,,,$68.00,$0.00,$0.00,$0.00,#DIV/0!,35.31%,0.00%,,43,,,
6.69%,42,005930.ks,삼성전자,005930,.ks,KRX:,"360,500.00",,,,,,,"374,000.00",,,"65,861","2,766,162","15,141,000","12,374,838",447.36%,3.74%,6.69%,,,,,
0.00%,0,QQQ,QQQ,QQQ,,,$746.16,,,,,,,,,,$530.40,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.00%,0,494670.ks,타이거 조선 T10 ETF,494670,.ks,KRX:,"28,375.00",,,,,,,"25,000.00",,,"21,655",0,0,0,#DIV/0!,-11.89%,0.00%,,,,,
0.00%,0,nbis,네비우스그룹,nbis,,,$260.58,,,,,,,66.50,,,$89.53,$0.00,$0.00,$0.00,#DIV/0!,-74.48%,0.00%,,,,,
0.00%,0,smci,슈퍼마이크로컴퓨터,smci,,,$50.17,,,,,,,40.69,,,$44.47,$0.00,$0.00,$0.00,#DIV/0!,-18.90%,0.00%,,,,,
0.00%,0,ai,c3.ai,ai,,,$11.18,,,,,,,28.69,,,$24.16,$0.00,$0.00,$0.00,#DIV/0!,156.62%,0.00%,,,,,
0.00%,0,pgy,파가야테크놀리즈,pgy,,,$15.29,,,,,,,22.53,,,$18.85,$0.00,$0.00,$0.00,#DIV/0!,47.35%,0.00%,,,,,
4.86%,155,494670.ks,키움 미국양자컴퓨팅,498270,.ks,KRX:,"18,965.00",,,,,,,"17,000.00",,,"12,979.00","2,011,745.00","2,939,575.00","927,830.00",46.12%,-10.36%,4.86%,,,,,
0.00%,0,TSLL,TSLL,TSLL,,,$15.01,,,,,,,,,,$14.83,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.00%,0,CLS,셀레스티카,CLS,,,$472.40,,,,,,,,,,$147.64,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.00%,0,HIMS,힘즈&허즈,HIMS,,,$27.51,,,,,,,,,,$46.78,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.61%,1,LABU,LABU,LABU,,,$158.16,,,#VALUE!,Deprecated. Use =FINANCE instead,,Deprecated. Use =FINANCE instead,4.00,,,166.50,$166.50,$158.16,-$8.34,-5.01%,-97.47%,0.61%,,,,,
,0,060370.ks,엘에스마린솔루션,060370,.ks,KOSDAQ:,32800,"25,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,RR,Richtech Robotics Inc.,RR,,NASDAQ:,2.99,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,466100.ks,클로봇,466100,.ks,KOSDAQ:,47400,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,130660.ks,한전산업개발보통주,130660,.ks,KRX:,13380,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,ARBE,Arbe Robotics Ltd.,ARBE,,NASDAQ:,1.13,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,348340.ks,뉴로메카,348340,.ks,KOSDAQ:,54000,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,211050.ks,인카금융서비스,211050,.ks,KOSDAQ:,9560,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,007570.ks,일양약품보통주,007570,.ks,KRX:,8320,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,OPTT,"Ocean Power Technologies, Inc.",OPTT,,,0.42,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
0.00%,0,0051A0.ks,KoAct브로드컴밸류체인액티브,0051A0,.ks,KRX:,23300,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,"16,045.00",$0.00,0,0.00,#DIV/0!,-100.00%,0.00%,,,,,
,0,214420.ks,토니모리보통주,214420,.ks,KRX:,5780,"15,984.00",666,24,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
